case number,Timestamp,"What were the specific mental, medical, or physical conditions of the tenant, if any? ",Did the decision state that the tenant had children living with them?,Was the tenant employed at the time of the hearing?,"If the tenant was not employed, did the decision state the tenant was receiving any form of government assistance (e.g. OW, childcare benefits, ODSP, OSAP)?","If the tenant was employed, did the decision state any doubts about the stability of employment e.g. lack of guaranteed hours, contract work, etc.?",Did the member find the tenant had sufficient income to pay rent?,Did the decision mention the tenant lost their job leading up to or during the period of the hearing?,"Did the decision mention any other extenuating circumstances experienced by the tenant leading up to or during the period of the claim (e.g. hospitalization, death in the family, etc.)?","Did the decision mention the tenant’s difficulty finding alternative housing for any reason e.g.physical limitations, reliance on social assistance, etc.?",Did the decision state the tenant was given prior notice for the eviction?,Did the decisions state postponement would result in the tenant accruing additional arrears?,Which other specific applications of the landlord or the tenant were mentioned?,Did the decision mention the validity of an N4 eviction notice?,Payment Plan
CEL-66886-17,12/28/2020 14:00:52,0,0,0,0,0,0,0,0,0,1,1,['N8'],0,0.0
CEL-67101-17,12/28/2020 14:09:39,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
CEL-67109-17,1/6/2021 12:32:26,0,0,0,0,0,0,0,0,0,1,1,['L1'],0,0.0
CEL-67620-17,12/28/2020 14:44:06,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'N5', 'N8']",0,0.0
CEL-68020-17,12/28/2020 14:52:30,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'L3']",0,0.0
TEL-89910-18,1/14/2021 15:40:34,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
CEL-68634-17,1/6/2021 12:33:47,0,1,0,0,0,0,0,1,0,1,1,"['L1', 'L2', 'N8']",0,0.0
TEL-89912-18,1/14/2021 15:45:35,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
TEL-89993-18,1/14/2021 15:48:19,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
CEL-68793-17-RV,12/28/2020 15:22:38,1,0,0,0,0,0,0,1,0,1,1,[],0,0.0
TEL-90055-18,1/14/2021 15:54:30,0,0,1,0,1,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.5
CEL-69024-17,1/6/2021 12:34:52,0,1,0,0,0,1,0,0,0,1,1,[],0,0.5
TEL-90112-18,1/14/2021 15:57:09,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
CEL-69750-17,12/28/2020 15:39:43,0,1,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'N5']",0,0.0
TEL-90120-18,1/14/2021 15:59:33,0,1,1,0,-1,0,0,1,0,1,0,[],0,1.0
CEL-69848-17,1/6/2021 12:36:15,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'N8']",0,0.0
TEL-90179-18,1/14/2021 16:07:59,0,0,1,0,-1,0,1,0,0,1,0,[],0,0.5
TEL-90188-18,1/14/2021 16:16:55,0,1,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-75185-16,1/31/2021 21:33:18,1,0,1,0,-1,1,0,1,0,1,1,[],0,0.5
TEL-90294-18,1/14/2021 16:25:40,1,0,1,0,0,0,0,0,1,1,0,[],0,0.0
TEL-90345-18,1/14/2021 17:18:41,0,1,1,0,1,0,0,0,0,1,0,[],0,0.0
TEL-75630-16,1/31/2021 21:33:44,0,1,-1,1,0,0,1,0,0,1,1,[],0,0.5
TEL-75637-16,12/28/2020 17:14:10,0,0,1,0,-1,0,0,0,0,1,0,[],0,0.0
TSL-93802-18,12/28/2020 17:14:38,0,1,0,0,-1,0,0,0,0,1,0,[],0,0.0
TSL-93873-18,12/28/2020 17:25:45,0,1,1,0,1,1,0,1,1,1,0,"['L1', 'L2']",0,1.0
TSL-93963-18,12/28/2020 17:37:56,0,1,1,0,-1,1,0,0,1,1,0,"['L2', 'L9']",1,0.0
TSL-94018-18,12/28/2020 17:47:59,0,0,1,0,-1,0,0,0,0,1,0,['L1'],1,0.0
TSL-94190-18,12/28/2020 17:57:32,0,0,1,0,1,0,0,0,0,0,0,"['L1', 'L2']",0,0.0
TEL-90354-18,1/14/2021 17:24:59,1,1,1,0,1,0,0,1,0,1,0,[],0,0.0
TSL-94248-18-RV,12/28/2020 18:08:53,0,0,0,0,0,0,0,0,0,0,0,[],0,0.0
TEL-90371-18   ,1/14/2021 17:28:09,0,0,-1,1,0,0,1,1,0,1,0,[],0,0.0
TEL-90395-18,1/14/2021 17:31:26,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
CET-65284-17,12/29/2020 13:18:04,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'L3', 'T2', 'T6', 'N5', 'N7']",0,0.0
TEL-90399-18,1/14/2021 17:43:33,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
TEL-90414-18,1/14/2021 17:46:18,0,0,1,0,1,0,1,0,0,1,0,[],0,0.5
TEL-90458-18,1/14/2021 17:49:37,0,0,0,0,0,0,0,0,0,1,0,[],0,0.5
TEL-90508-18,1/14/2021 17:52:20,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-90634-18   ,1/14/2021 18:01:25,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,1.0
HOL-02425-18-RV,12/29/2020 12:04:09,0,1,1,0,0,0,0,0,0,0,1,[],1,0.0
HOL-02425-18-RV,12/29/2020 12:04:31,0,1,1,0,0,0,0,0,0,0,1,[],1,0.0
HOL-02487-18,12/29/2020 12:31:14,0,0,0,0,0,1,0,0,0,1,1,[],1,0.0
EAL-60748-16,1/6/2021 12:39:28,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
HOL-02522-18,12/29/2020 12:46:19,0,0,0,0,0,1,0,0,0,0,1,[],0,0.0
EAL-61057-16,12/29/2020 12:46:57,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
EAL-61782-16,12/29/2020 13:27:44,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
EAL-62115-16,1/11/2021 12:31:18,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'N8']",0,0.0
HOL-02639-18-RV,12/29/2020 13:14:07,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
EAL-62437-17,12/29/2020 13:38:52,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
HOL-02707-18,12/29/2020 13:39:10,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
HOL-02707-18,12/29/2020 13:39:23,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
TEL-06652-19,12/29/2020 13:40:53,1,0,0,1,0,1,0,1,1,1,0,[],0,1.0
EAL-65781-17,1/6/2021 12:42:31,1,0,0,0,0,0,0,1,1,1,1,[],0,0.5
EAL-65864-17,1/6/2021 12:43:58,0,0,0,0,0,0,0,0,0,1,1,['L1'],1,0.0
TEL-06535-19,12/29/2020 14:08:06,0,0,1,0,-1,1,0,1,0,1,1,[],0,0.0
EAL-68762-17,12/29/2020 14:11:52,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
EAL-68763-17,12/29/2020 14:18:11,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
EAL-68765-17,12/29/2020 14:25:17,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
TEL-06544-19,12/29/2020 14:29:51,0,0,1,-1,0,0,1,0,0,1,1,[],1,0.5
EAL-68814-17,12/29/2020 14:31:32,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
HOL-01143-17,12/29/2020 14:41:04,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
TEL-06648-19,12/29/2020 14:42:22,0,1,1,0,0,1,1,0,0,1,0,['N8'],0,1.0
HOL-01185-17-RV,12/29/2020 14:57:59,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L9']",1,0.0
TEL-05886-19,12/29/2020 14:58:06,0,1,0,0,0,1,0,0,0,1,0,['N5'],0,0.0
HOL-01336-17-RV,12/29/2020 15:08:52,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L9']",0,0.0
HOL-01347-17,12/29/2020 15:37:35,0,1,1,-1,1,0,0,1,1,1,1,[],0,0.0
HOL-01476-17,12/29/2020 15:31:06,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
HOL-01514-17,12/29/2020 15:40:08,0,0,0,0,0,0,0,0,0,1,1,[],0,1.0
HOL-01517-17,12/29/2020 15:44:27,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
HOL-01611-17,12/29/2020 15:49:10,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
NOL-26612-17,1/6/2021 12:51:28,0,0,0,0,0,0,0,1,0,1,1,"['L2', 'N5']",0,0.5
NOL-29035-17,12/29/2020 16:05:52,0,0,0,0,0,0,0,1,0,1,1,"['L1', 'L2']",0,0.0
NOL-29541-17,12/29/2020 16:11:14,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
SOL-76001-16,12/29/2020 16:18:21,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
SOL-76563-16-RV,1/6/2021 12:53:22,1,0,0,1,0,0,0,1,1,1,0,[],0,1.0
SOL-77369-16,12/29/2020 16:33:47,0,0,0,0,0,0,0,0,0,1,1,['L1'],1,0.0
HOL-02735-18,12/29/2020 23:01:00,1,0,-1,1,0,0,0,0,0,1,1,['L1'],1,0.5
HOL-02995-18-RV,12/29/2020 23:09:03,0,0,0,0,0,1,0,0,0,1,1,[],0,0.0
HOL-03023-18-RV,12/29/2020 23:21:34,0,0,0,0,0,1,0,0,0,1,1,[],0,0.0
HOL-03157-18,12/29/2020 23:27:53,0,0,0,0,0,1,0,0,0,1,1,[],0,0.0
HOL-03461-18,12/29/2020 23:34:11,0,0,0,0,0,1,0,0,0,1,1,[],0,0.0
HOL-03461-18-RV  ,12/29/2020 23:42:34,1,0,0,0,0,1,0,0,0,0,0,[],0,0.0
HOL-03632-18,12/29/2020 23:56:30,0,0,1,0,-1,0,0,0,0,1,1,[],0,0.5
HOL-03632-18-RV,12/30/2020 0:06:34,1,0,0,0,0,0,0,0,0,0,0,[],0,0.0
HOL-03639-18,12/30/2020 0:47:37,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
SOL-88977-17,12/30/2020 0:55:07,0,0,0,0,0,1,0,0,0,1,1,[],0,0.0
SOL-91391-18,12/30/2020 1:01:22,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
SOL-94063-18,12/30/2020 1:09:55,1,0,1,0,-1,1,0,1,0,1,1,[],0,0.0
SWL-00849-17,12/30/2020 1:19:04,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'L8']",0,0.0
TEL-87341-18,1/28/2021 20:22:45,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-87379-18,1/28/2021 20:24:14,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'L8']",0,1.0
TEL-87475-18; TET-86819-17; TET-88355-18,1/28/2021 20:25:28,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'T2', 'T6']",0,0.0
TEL-87479-18,1/28/2021 20:27:20,0,0,0,0,0,0,0,0,0,0,1,['N7'],0,0.0
TEL-87533-18,12/31/2020 22:19:20,0,0,0,0,0,0,0,0,0,0,1,"['L2', 'L3', 'L9']",0,0.0
TEL-87594-18,1/28/2021 20:29:47,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
SWL-08112-17/SWL-08113-17,12/30/2020 14:03:44,0,0,0,0,0,1,0,0,0,1,1,"['L1', 'L2', 'N5']",0,0.0
SWL-09935-17,12/30/2020 14:56:40,0,0,0,0,0,1,0,0,0,1,1,"['L1', 'L2', 'N5']",0,0.0
SWL-10701-17,12/30/2020 15:05:35,0,1,0,0,0,1,0,0,0,1,1,['N5'],0,0.0
SWL-11020-17,12/30/2020 15:18:39,0,0,0,0,0,0,0,1,0,1,0,"['L1', 'L2']",0,0.0
SWL-11574-17,12/30/2020 15:27:06,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5', 'N8']",0,0.0
TEL-87731-18,1/28/2021 20:30:51,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
SWL-11631-17,12/30/2020 15:44:02,1,1,1,0,-1,1,1,1,0,1,1,"['L1', 'L2']",0,0.0
TEL-87732-18,1/28/2021 20:33:11,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'N6']",0,0.0
SWL-11849-17,12/30/2020 15:54:54,1,0,0,0,0,1,0,0,1,1,0,[],0,0.0
TEL-07076-19,12/30/2020 15:55:30,0,0,0,1,0,1,0,1,0,1,0,[],0,1.0
TEL-87815-18,1/28/2021 20:34:02,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
TEL-87952-18,1/28/2021 20:35:35,0,1,1,0,-1,1,0,0,0,1,1,[],0,0.0
TEL-87995-18,1/28/2021 20:38:17,0,0,0,1,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
TEL-88012-18,1/28/2021 20:39:06,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'L3', 'N5']",0,0.0
TEL-88019-18,1/28/2021 20:44:27,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
SWL-12164-18,12/30/2020 16:38:54,0,0,0,0,0,1,0,1,0,0,0,"['L1', 'L2', 'L9']",1,0.0
SWL-12239-18,12/30/2020 16:52:43,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",1,0.0
SWL-12285-18,12/30/2020 17:02:36,1,0,0,0,0,0,0,1,0,1,0,[],0,0.0
SWL-12415-18,12/30/2020 17:16:05,0,0,0,0,0,0,0,0,0,1,0,"['L2', 'N5']",0,0.0
SWL-12547-18 and SWL-12548-18,12/30/2020 17:39:53,0,0,0,0,0,1,0,0,0,1,1,"['L1', 'L2']",0,0.0
TEL-88259-18,1/28/2021 20:45:29,0,1,0,0,0,0,0,0,0,1,1,[],0,0.0
TEL-07267-19-IN,12/30/2020 19:55:05,0,0,0,0,0,0,0,0,0,1,0,['N5'],0,0.0
TEL-88325-18,1/28/2021 20:46:28,0,1,0,0,0,0,0,0,0,1,1,[],0,0.0
TEL-07341-19,12/30/2020 20:08:00,1,1,1,1,1,0,0,1,0,1,1,[],0,0.5
TEL-88344-18-RV,1/28/2021 20:47:32,1,0,0,1,0,0,0,0,0,1,0,[],0,0.0
TEL-88409-18,1/28/2021 20:48:26,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
TEL-07365-19,12/30/2020 20:21:28,0,0,-1,-1,0,0,0,0,0,1,1,[],0,0.5
TEL-88409-18-RV,12/31/2020 22:50:42,0,0,0,1,0,0,0,0,0,1,0,[],0,1.0
TEL-88447-18,1/28/2021 20:49:24,0,0,1,0,1,1,0,0,0,1,1,[],0,0.5
TEL-88465-18-RV,12/30/2020 20:38:27,0,1,1,0,-1,0,0,0,0,1,0,[],0,0.0
TEL-88511-18,1/28/2021 20:50:45,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
TEL-88533-18,12/30/2020 20:56:24,1,0,1,1,-1,1,0,0,0,1,1,[],0,0.5
SWL-12693-18,12/30/2020 21:12:07,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'L9']",1,0.0
SWL-12927-18,12/30/2020 21:27:20,1,1,0,0,0,0,0,1,0,1,1,"['L1', 'L2']",0,0.0
SWL-13125-18  ,12/30/2020 21:43:15,1,0,1,0,-1,1,0,1,1,1,1,"['L1', 'L2', 'N5']",0,0.0
SWL-13553-18,12/30/2020 21:54:37,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
TEL-90711-18,1/14/2021 18:05:47,0,1,0,0,0,1,0,1,0,1,1,[],0,0.0
TEL-90753-18   ,1/14/2021 18:09:28,0,0,0,0,0,0,0,1,0,1,0,[],0,0.0
TEL-90826-18,1/14/2021 18:15:55,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
TEL-90922-18,1/14/2021 18:21:50,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
SWL-13848-18,12/30/2020 22:45:05,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'T2', 'T6']",0,0.0
TEL-90971-18,1/14/2021 18:24:56,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
SWL-13901-18/SWT-14627-18,12/30/2020 23:52:56,0,1,0,0,0,1,0,0,1,1,1,"['L1', 'T2', 'T6']",0,0.0
SWL-14299-18,12/31/2020 0:17:41,0,0,0,0,0,1,0,0,0,1,1,['T6'],0,0.0
SWL-14340-18,12/31/2020 0:33:55,0,1,0,1,0,1,0,1,0,1,0,[],0,1.0
SWL-14374-18,12/31/2020 0:48:34,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'N5', 'N6']",0,0.0
SWL-14642-18,12/31/2020 1:04:07,0,0,1,0,-1,1,0,0,0,1,0,"['L1', 'L2', 'N5', 'N8']",1,0.0
SWL-15637-18,12/31/2020 1:13:10,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'N5']",0,0.0
TEL-88672-18,1/28/2021 20:51:49,0,1,1,0,1,1,1,0,0,1,1,[],0,0.5
TEL-88743-18,12/31/2020 23:03:25,1,1,0,0,0,1,0,0,0,1,1,[],0,0.0
TEL-88767-18,12/31/2020 11:39:20,0,1,0,0,0,0,0,0,0,1,1,[],0,0.0
TEL-88781-18,1/28/2021 20:52:49,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
TEL-88799-18,12/31/2020 11:50:30,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
TEL-88801-18,12/31/2020 12:24:15,0,0,-1,-1,0,0,1,0,0,1,1,[],1,0.5
TEL-88820-18,12/31/2020 12:28:53,0,0,1,0,-1,0,0,0,0,0,0,[],0,1.0
TEL-88845-18,12/31/2020 12:39:13,0,0,1,0,-1,1,0,1,0,1,0,[],0,1.0
TEL-88860-18,1/28/2021 20:54:03,0,0,1,0,1,0,0,0,0,1,1,[],0,0.5
SWL-15775-18,12/31/2020 13:55:52,1,0,0,0,0,0,0,1,0,1,1,"['L1', 'L2']",0,0.0
SWL-16096-18,12/31/2020 14:07:46,0,0,0,0,0,1,0,0,0,1,0,"['L1', 'L2']",0,0.0
SWL-16394-18,12/31/2020 14:15:36,0,0,0,0,0,1,0,0,0,1,0,[],0,0.0
SWL-16478-18,12/31/2020 14:32:38,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
SWL-16624-18,12/31/2020 14:40:14,0,0,0,0,0,1,0,0,0,1,1,"['L1', 'L2', 'L3']",0,0.0
SWL-16668-18,12/31/2020 14:49:55,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2', 'N5']",1,0.0
TEL-89083-18,1/28/2021 20:54:45,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
TEL-89124-18,12/31/2020 15:01:39,0,1,-1,1,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
TEL-89126-18,1/28/2021 20:57:28,0,1,-1,-1,0,0,1,0,0,1,1,[],0,0.0
TEL-89165-18,12/31/2020 15:17:03,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
TEL-89165-18,12/31/2020 15:17:09,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
TEL-86029-17,12/31/2020 15:23:01,1,0,-1,1,0,0,1,0,0,1,0,[],0,0.0
TEL-89192-18-RV,12/31/2020 15:28:25,0,0,-1,0,0,0,0,0,0,1,1,[],0,0.0
TEL-86069-17,12/31/2020 15:44:19,0,1,-1,1,0,0,0,0,0,1,0,[],0,0.0
TEL-86130-17,12/31/2020 15:50:14,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-86133-17,12/31/2020 15:57:25,1,0,-1,-1,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TEL-86219-17,12/31/2020 16:41:11,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TEL-86233-17,12/31/2020 17:23:38,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TEL-86494-17,12/31/2020 17:27:45,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TEL-86607-17,12/31/2020 17:34:53,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TEL-89226-18,1/28/2021 20:59:06,0,1,1,0,1,0,1,0,0,1,1,['L1'],0,0.5
TEL-89232-18-RV,12/31/2020 18:25:29,0,0,0,0,0,0,0,1,0,1,0,[],0,1.0
TEL-89270-18,1/28/2021 21:01:56,0,1,0,1,0,0,0,0,0,1,1,[],0,0.5
TEL-89315-18,1/28/2021 21:03:05,0,1,1,0,1,0,1,0,0,1,1,[],0,0.5
TEL-89342-18-RV,1/28/2021 21:05:00,1,0,0,1,0,0,0,1,0,1,1,[],0,0.0
TEL-89372-18,12/31/2020 19:07:30,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-89392-18-AM,1/28/2021 21:06:12,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
TEL-89392-18-RV  ,12/31/2020 19:23:15,0,0,1,0,1,0,0,0,0,1,1,[],0,0.5
TEL-89446-18,12/31/2020 19:31:46,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
TEL-89446-18,1/28/2021 21:08:42,0,0,0,0,0,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
TEL-89449-18,1/28/2021 21:09:27,0,1,0,0,0,0,0,0,0,1,1,"['L1', 'N5']",0,0.0
TEL-86690-17,1/1/2021 13:12:27,0,1,-1,1,0,0,0,0,0,1,0,[],0,0.5
TEL-86783-17,1/1/2021 13:31:55,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-86823-17,1/1/2021 13:49:46,0,1,0,0,0,1,0,1,0,1,0,[],0,0.5
TEL-86908-17,1/1/2021 13:55:42,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TEL-86991-17,1/1/2021 14:24:17,0,1,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'T2', 'T6']",0,0.0
TEL-87077-17,1/1/2021 14:43:30,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-87094-17,1/1/2021 14:55:02,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-87107-17,1/1/2021 15:03:25,0,0,0,0,0,0,0,0,0,1,0,[],1,0.0
TEL-87140-17,1/1/2021 15:13:34,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-07737-19,1/1/2021 16:42:38,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-07999-20,1/1/2021 16:52:29,0,0,1,0,1,0,0,1,0,1,0,[],0,1.0
TEL-11185-20-IN-AM,1/1/2021 17:01:44,0,0,0,0,0,1,0,0,0,1,0,"['L2', 'N5', 'N7']",0,0.0
TEL-61064-15-RV,1/1/2021 17:11:51,0,0,0,0,0,1,0,0,0,1,0,"['L2', 'N5']",0,0.0
TET-99341-19,1/1/2021 17:26:33,0,0,1,0,-1,1,0,0,0,0,0,['L2'],0,0.0
TSL-94351-18,1/1/2021 17:44:02,0,1,-1,1,-1,0,0,0,0,0,0,['L2'],0,0.0
TSL-94482-18,1/1/2021 18:19:11,0,0,0,0,-1,0,0,0,0,0,0,"['L2', 'N5']",0,0.0
TNL-08103-18,1/1/2021 22:03:29,0,0,0,0,0,0,0,0,0,0,0,['L2'],0,0.0
TNL-15147-19,1/1/2021 22:13:03,0,0,0,0,0,1,0,0,0,1,0,[],0,0.0
TEL-91060-18,1/14/2021 18:27:48,0,1,1,1,-1,0,0,0,0,1,0,[],0,0.5
TNL-17478-19,1/1/2021 22:22:46,0,1,-1,-1,0,1,1,1,1,1,1,[],0,0.5
TNL-19088-19,1/1/2021 22:27:28,0,0,0,0,0,0,0,0,0,1,0,['L2'],0,0.0
TEL-91060-18-RV,1/14/2021 18:29:39,0,1,1,1,-1,0,0,0,0,1,0,[],0,0.5
TEL-91077-18   ,1/14/2021 18:32:32,0,1,1,1,1,0,0,1,0,1,0,[],0,1.0
TEL-91104-18,1/14/2021 18:42:06,1,0,1,0,-1,0,0,0,1,1,1,[],0,0.0
TEL-91121-18,1/14/2021 18:47:18,0,1,0,1,0,0,0,0,0,1,0,[],0,0.0
TEL-91207-18,1/14/2021 18:53:17,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-91208-18,1/14/2021 18:55:35,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TEL-91380-18,1/14/2021 19:01:13,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TEL-91480-18   ,1/14/2021 19:05:47,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-91570-18,1/14/2021 19:07:50,0,0,1,0,1,0,1,1,0,1,0,[],0,0.0
TNL-20505-19,1/2/2021 2:45:49,1,1,1,0,1,0,0,0,0,0,0,[],0,0.5
TEL-91584-18,1/14/2021 19:10:42,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'L8', 'N5', 'N7']",0,0.0
TEL-91615-18,1/14/2021 19:12:57,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N7']",0,0.0
TEL-91770-18   ,1/14/2021 19:25:19,1,1,1,1,-1,1,0,1,0,1,0,[],0,1.0
TSL-03289-19,1/2/2021 11:42:21,0,1,1,0,0,0,1,1,0,1,0,"['L1', 'L2']",0,0.0
TSL-03592-19,1/2/2021 12:18:50,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
TSL-03604-19,1/2/2021 12:33:59,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,0.0
TSL-03695-19,1/2/2021 13:06:29,1,0,-1,1,0,0,1,1,1,1,0,['L1'],0,0.0
TNL-19132-19,1/2/2021 13:20:28,0,0,0,0,0,0,0,1,0,1,0,['N8'],0,0.0
TNL-19458-19,1/2/2021 13:26:54,0,0,0,0,0,1,0,0,0,1,1,[],0,0.5
TNL-19609-19,1/2/2021 13:34:03,0,1,1,0,1,0,0,0,1,0,1,[],0,0.5
TNL-19746-19,1/2/2021 13:52:57,0,0,-1,1,0,0,1,1,0,1,0,[],0,1.0
TNL-19786-19,1/2/2021 14:00:48,0,0,1,1,-1,1,1,1,0,1,0,[],0,0.5
TSL-94607-18-AM,1/3/2021 9:35:30,0,0,1,0,-1,0,0,0,0,0,0,"['L2', 'N8']",0,0.0
TSL-94693-18,1/3/2021 11:57:20,1,1,1,1,1,1,0,0,1,0,0,[],0,0.0
TSL-94823-18,1/3/2021 12:20:41,0,0,0,0,0,0,0,0,0,0,0,['L2'],0,0.0
TSL-94942-18,1/3/2021 12:40:40,0,0,0,0,-1,0,0,0,0,0,0,"['L2', 'N5']",0,0.0
EAL-76016-18-RV,1/4/2021 11:08:20,1,0,0,1,0,0,0,1,0,1,0,[],0,0.0
TNL-20320-19,1/4/2021 11:48:34,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N8']",0,0.0
TNL-20434-19,1/4/2021 11:53:30,0,0,-1,-1,0,0,0,0,0,1,0,"['L2', 'N8']",0,0.0
CEL-90549-19,1/4/2021 11:59:57,1,1,-1,1,0,1,0,1,0,1,0,[],0,0.5
TEL-75638-16,1/4/2021 17:23:59,1,1,1,0,-1,1,0,1,0,0,1,[],0,0.5
TEL-75638-16,1/31/2021 21:34:22,1,1,1,0,-1,1,0,1,0,1,1,[],0,0.5
TEL-75747-16,1/31/2021 21:36:05,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
